,characteristics,rating,REF
48,"sandy, sweet, banana cream",2.75,370
49,"roasty, nutty, coffee",3.0,370
50,"gritty, spice, cocoa",3.0,316
51,"strong pepper, musty",2.75,502
52,"fatty, intense, woody",2.75,508
53,"hay, nut, berry",3.75,636
54,"sandy, dirt, ashey",2.5,1061
55,"cardboard, dirt, roasty",2.5,1173
56,"roasty, sweet, savory",2.75,1215
57,"nutty, roasty, odd dairy",2.75,1215
58,"citrus, fatty, dairy",3.0,1215
59,"strawberry, cream, gateway",3.5,1992
60,"sandy, green, floral",3.5,1944
61,"sandy, sweet, nibby",3.5,1944
62,"sandy, melon, banana",3.5,1944
63,"sandy, sweet, roasty",3.5,1944
64,"sweet, moldy, off",2.5,1125
65,"sandy, sweet, dairy, spice",3.0,1125
66,"gritty, berry, mild bitter",3.25,1129
67,"grit, sweet, caramel, fruit",3.0,1133
68,"gritty, too sweet, fruit",3.25,1133
69,"powdery, sweet, molasses",2.75,1728
70,"dry, sweet, caramel",3.0,1728
71,"sandy, sweet, pungent",2.5,1732
72,"sandy, sweet, sour, off",2.5,1732
73,"sandy, nutty, earthy, roasty",2.75,1732
74,"sweet, coarse, nutty",3.0,2044
75,"spice, nut, cocoa, fruit",3.5,129
76,"waxy, nutty, mint",3.0,147
77,"spicy, strawberry",3.75,175
78,"sticky, nutty, high acidity",2.75,304
79,"hot spice, roasty",3.0,363
80,"orange, cinamon",3.75,470
81,"strong spice, intense pepper",4.0,470
82,"woody, red berry, sour",3.0,544
83,"tart, lemon, smoke",4.0,725
84,"dry, chalky, fudge-like",3.0,322
85,"waxy mouthfeel, spicy",2.75,327
86,"fatty, mushroom, off notes",2.75,464
87,"roasty,oddly sweet,marshmallow",3.0,464
88,"raisins, pungent",3.0,1964
89,"few grits, blackcherry, licorice",3.5,1964
90,"oily, vanilla, melon, cocoa",3.25,1145
91,"oily, vegetal, nutty, cocoa",3.5,1145
92,"roasty, brownie, nutty",3.0,1494
93,"fruity, sour",3.25,1494
94,"high roast, high astringnet",3.25,1498
95,"smokey, savory",3.25,1498
96,"sandy, roasty, nutty",3.25,1498
97,"rich, sour, mild smoke",3.5,1498
98,"red wine, rich cocoa, long",3.75,75
99,"creamy, earthy, vegetal",3.0,123
100,"sandy, woody, spicy",3.0,123
101,fruity with coffee notes,3.5,123
102,"creamy, fruit, cocoa",3.75,123
103,"coffee, fruit, woodsy",3.5,129
104,"fatty, dairy, caramel, cocoa",3.5,170
105,"creamy, raspberry, nutty",3.75,979
106,"vanilla, mint, roasty",3.0,2088
107,"vanilla, nuts, roasty",3.0,2088
108,"nutty, mild roasty, vanilla",3.0,2092
109,"sweet, delicate, complex",3.5,2092
110,"nut, fatty, rubbery, rich",2.75,2434
111,"creamy, red berry, bitter",2.75,572
112,"very sweet, bright red, banana",3.75,572
113,"roasty, fatty, nutty, coffee",3.75,572
114,"creamy, sweet,cocoa,banana",4.0,572
115,"grainy, sweet, poor aftertaste",3.25,1065
116,"chalky, mild fruit, burnt",3.0,1259
117,"light roast, caramel, cocoa",3.5,1852
118,"burnt toast, cherry",3.0,2586
119,"orange citrus, harsh earthiness",3.25,2586
120,"sandy, fruity, short",3.0,1375
121,"earthy, sour milk, leather",2.5,1379
122,"bitter, floral, leather",2.75,1379
123,"nutty, mild spice, mild earthy",3.0,1379
124,"creamy, rich, rum, roasty",3.5,1534
125,"floral, nutty, rich cocoa",3.5,1534
126,"spicy, cocoa",3.75,1534
127,"spicy, brownie, nutty",3.5,1598
128,"floral, strawberry, metallic",3.75,1598
129,"creamy,sticky, peanut butter",4.0,1598
130,"floral, chemical off",2.75,1602
131,"strawberry, butterscotch, off",3.25,1602
132,"intense, floral, bourbon",3.5,1602
133,"delicate, simple",3.5,1724
134,"appealing smoke, woody",3.75,1724
135,"cashew, roasty, chunky melt",3.5,1900
136,"sticky, floral, roasty",3.25,1904
137,"chewy, mild floral",3.25,1904
138,"subtle, mysterious",3.5,1904
139,"muddy, rich cocoa, raspberry",3.75,1904
140,"nutty, green",3.5,1908
141,"balanced, cherry, choco",4.0,1908
142,"creamy, complex, balanced",4.0,1924
143,"smoke, hammy, cocoa base",3.25,1928
144,"earthy, nutty, cardboard",3.25,1928
145,"dark berry, chocolatey",3.75,1928
146,"slight roasty, basic cocoa",3.5,2020
147,sour fruit,3.5,2020
148,"rich cocoa, mild roasty",3.5,2020
149,"creamy, bright fruit",4.0,2024
150,"dried fruit, fig, anise",3.5,2028
151,"long lasting, cocoa",4.0,2028
152,"nuts, dried fruit, short",3.0,2068
153,"smooth, nutty, cocoa",4.0,2254
154,"herbs, mushroom, acidic",3.25,2330
155,"burn butterscotch, rubbery",3.0,2450
156,"melon, late hammy",3.25,2162
157,"smooth, vegetal",3.5,2162
158,"roasty, rich cocoa",3.5,2162
159,"cocoa, earthy, hammy",3.0,2166
160,"spicy, minty, vegetal",3.75,300
161,"oily, nutty, burnt, sour",2.5,355
162,"gritty, very smokey, sour",2.75,355
163,"cocoa, dominate off note",1.75,363
164,"sl. bitter, cherry, rich",3.0,363
165,"spicey, mild metallic",3.0,363
166,"spice, cocoa, short",3.25,363
167,"very nutty, very bitter",1.75,486
168,"grassy, black licorice, mint",3.75,531
169,"chewy, grassy, nutty",3.25,600
170,"unrefined, distinct spicey",3.25,600
171,black pepper and banana,3.5,600
172,"nuts, butterscotch, brownie",4.0,729
173,"blackpepper,chemical,rubber",2.75,745
174,"marshmallow, roasty, nutty",3.75,947
175,"gritty, nutty",3.25,1193
176,"creamy, marshmallow, off",2.75,1181
177,"cinamon, nutmeg, fatty",3.25,2562
178,"strawberry, sour",3.25,2562
179,"caramel, sour milk",3.5,2566
180,"leather, black licorice, off",2.5,141
181,"smooth, astringent, cocoa",3.0,175
182,"strawberries, mild tart, roasty",3.75,331
183,"creamy, woody, cocoa",3.75,647
184,"grapes, woody, roasty",3.75,661
185,"creamy, rich, blueberry",3.75,1780
186,"off aroma,vegetal,honey,sandy",3.0,2434
187,"sandy, vanilla",2.75,2056
188,"waxy, dried fruit",3.0,2056
189,"sandy, roasty, nutty",3.0,2056
190,"long, bright fruit, sweet, sour",3.5,2056
191,"chemical, spice, earthy",2.5,2672
192,"intense, sour tart plum, rubber",3.0,2672
193,"unrefined, flat, grassy",3.0,995
194,"chalky, intense, chemical",2.5,999
195,"chalky, fragrant, then off",2.5,999
196,"coarse, smokey, metallic",3.25,1474
197,"smoke, ham, papaya",3.5,1474
198,"bland, sugary, large grits",3.0,2146
199,"molasses, caramel, pungent",2.75,1454
200,"black pepper, cardamom",3.5,1454
201,"gritty, fatty, sour, off",2.5,2290
202,"bitter, fatty, mild fruit",2.75,2294
203,"base cocoa, mild fruit, roasty",3.25,2294
204,"complex,black pepper,coffee",3.25,983
205,"molasses,toffee,coffee grounds",3.5,983
206,"raspberry, mild sour",3.75,983
207,"creamy, rounded, orange",4.0,1295
208,"intense, smokey, dried fruit",3.5,1554
209,"slightly dry, cocoa, berry",3.5,1980
210,"intense, tangy, alcohol",3.5,1980
211,"gritty, floral, vanilla",2.75,955
212,"sweet, honey, earthy, cocoa",3.25,2736
213,"creamy, sweet, fudgey",3.5,1840
214,"strawberry, candy flavor",3.75,1868
215,"sandy, floral, sweet",3.25,1880
216,"strong vanilla, off notes",2.25,2374
217,"caramel, spice, earthy",3.0,1948
218,"smokey, woody, tobacco",3.25,1948
219,"intense, bitter, dry",2.75,1784
220,"sandy, sweet, molasses",2.75,1784
221,"intense, floral, black pepper",2.75,1784
222,"intense floral, bitter, earthy",2.75,1788
223,"pastey, nutty",2.75,586
224,"intense, smokey",2.75,586
225,"sticky, moss, nuts",2.75,586
226,"dry, cinamon, nutmeg",3.5,586
227,"sticky, delicate, melon",3.5,1800
228,"oily, complex, pungent",3.25,1804
229,"caramel, mild dried fruit",3.5,1864
230,"high acidity, nutty, roasty",3.25,2190
231,dominate cocoa notes,3.75,2648
232,"unbalanced, tangy, pungent",2.75,1768
233,"sweet, nibby, green",3.0,1768
234,"balanced, complex, berry",3.5,1768
235,"gummy, roasty, fatty",3.0,2246
236,"gummy, fatty, sour",3.0,2246
237,"off aroma, smokey, off note",3.0,2246
238,"smokey, raspberries, cocoa",4.0,757
239,"intense,red berry,strawberry",3.75,773
240,"tobacco, dairy, sour",3.5,1141
241,"nutty, roasty, dairy",3.5,1141
242,"mocha, intense, sweet",3.5,1141
243,cinamon and nutmeg,4.0,1141
244,"floral, melon, spicy",3.5,2744
245,"delicate, nutty, caramel, sl. Off",3.0,2744
246,"sweet, vanilla, cocoa",2.75,797
247,"creamy, macadamia, pepper",3.25,508
248,"nutty, light toffee, mild musty",3.25,508
249,"ham-like, smokey, banana",3.5,508
250,"dark cocoa, spicy pepper",3.5,508
251,"chunky, nutty, banana",3.0,636
252,"bitter then nutty rustic, earthy",3.0,636
253,"creamy, banana, rich",3.5,636
254,"creamy, nutty, cocoa",4.0,636
255,"bitter, molasses, flour",2.5,1482
256,"molasses, metallic, earthy",2.5,1486
257,"sour, tart, molasses",2.5,1486
258,"mild bitter, diluted, vanilla",3.25,1486
259,"smooth texture, earthy, nutty",3.5,2084
260,"gritty, spicy, earthy",3.0,2088
261,"fatty, bland, nutty",3.0,2088
262,"rich cocoa, red berry, sour",3.0,233
263,"intense, rum, tea",3.5,233
264,"nutty, astringent",3.75,233
265,"nutmeg, sour",3.0,256
266,"chalky, strong, harsh smoke",3.0,414
267,"intense marshmallow, cocoa",3.5,414
268,"rustic, red berry, woody",3.25,423
269,chocolate covered cherries,3.5,431
270,"dry, cardamom, medicinal",3.25,478
271,"robust, cocoa, fruity",3.75,502
272,"pastey, off spicey, nutty",2.75,558
273,"red berry, strong wine, sour",3.0,565
274,"nutty, mild bitter",3.0,565
275,"roasted nuts, rich, roasty",3.5,963
276,"floral, molasses, chemical",3.0,2108
277,"molasses, earthy, spicy",3.0,2114
278,"sweet, sour milk",3.25,2114
279,"off, rubbery, burnt molasses",2.75,2422
280,"unrefined, fruity",2.75,256
281,"sweet grass, muted spice",2.75,256
282,"rich, leather, woodsy",3.0,256
283,"bright fruit, crisp nibs, cocoa",3.75,2574
284,"fatty, nutty",2.75,1331
285,"burnt caramel, cocoa, floral",3.25,2590
286,honey with subtle tobacco,3.25,2590
287,"oily, flat, woody, sour",2.75,322
288,"complex, fruity, mild bitter",3.5,1046
289,"chewy, complex,black pepper",3.5,911
290,"gritty, tart red berry,powerful",3.75,911
291,"sandy, tart, sour, sweet",3.5,1740
292,"roasty, coffee, earthy",2.75,1752
293,"bready, melon",3.5,1752
294,"astringent, sour, coffee",3.0,1756
295,pungent off flavor,2.75,1996
296,"sweet, dirty, off notes",2.5,2290
297,"sweet, fruit, chemical off note",2.75,2290
298,"grassy, savory, sour",3.25,2290
299,"spice, woodsy, long lasting",3.75,24
300,"sandy, creamy, berry",3.75,32
301,"creamy, fatty, floral",4.0,48
302,"mellow, tart, coffee",3.75,75
303,"acidic, bitter, dry",1.5,81
304,"vegetal, dominant tobacco",3.0,81
305,"creamy, coconut, tang",4.0,81
306,"dry, floral, bitter",2.5,123
307,"creamy, strawberry, nutty",4.0,199
308,"oily, intense cocoa, sl. Burnt",3.0,331
309,"flat, bread, earthy",2.75,336
310,"mild bitter, nut, possible mold",3.0,336
311,"fatty, roasty, earthy",3.0,395
312,"fatty, raisin, grape",3.5,629
313,"roasty, woody, mint",3.5,629
314,"creamy, cocoa, smokey",3.5,629
315,"chunky, very grassy, mild mint",3.75,629
316,"grassy, black pepper",4.0,629
317,"fatty, spicy, gentle roast",4.0,629
318,"oily,fatty, rich, nutty",3.5,672
319,"oily, creamy, woody",3.25,761
320,"oily, roasted nuts, rich cocoa",3.5,1038
321,"fatty, roasty, black pepper",3.25,1042
322,"creamy, homey, nutty",4.0,1339
323,"roasty, tobacco, earthy",3.25,1418
324,"complex, brownie,mint, spice",3.75,1418
325,"heavy roast, fatty, gateway",3.5,1912
326,"oily, subtle, mild coffee",4.0,2246
327,"creamy, rich, complex",4.0,2250
328,"bold, woody, nut, roasty, creamy",3.75,2554
329,"sticky, lavendar, molasses",3.25,316
330,"cardboard, very bitter, floral",1.5,341
331,"sandy, vanilla, candy-like",2.75,1267
332,"gritty, sweet, mild coffee",2.75,1271
333,"nuts, fruit",4.0,2096
334,"sweet, rich mocha, acidic",3.75,2194
335,"balanced, floral, honey",3.5,2254
336,"very sweet, melon, caramel",3.0,2542
337,"oily, vanilla, caramel, dairy",3.0,1125
338,"intense, alocohol, floral",3.25,1125
339,"fatty, brownie, nutty",3.5,1129
340,"intense, cooked banana",3.5,1129
341,"intense, cocoa, complex",3.75,1255
342,"intense, raisins, roasty",4.0,1355
343,"complex, brownie, lime, rich",3.75,1462
344,"nutty, slight hammy, rich",3.5,1868
345,"simple, rich cocoa",3.75,1868
346,"earthy, cherries",3.25,1980
347,"sandy, floral, honey",3.75,1984
348,"roasty, sweet, brownie",3.0,1514
349,"bitter, dark berry, fatty",3.25,1514
350,"tart, tea, leather, sour",3.5,1514
351,"bitter, tart, acidic",2.75,1518
352,"mild smoke, raisins, coffee",3.25,1518
353,"citrus, sweet, cocoa",3.25,1518
354,"chalky, sandy, tart, bland",3.0,1149
355,"sweet, mild molasses, bland",3.0,1231
356,"spicy, black pepper, banana",3.5,1231
357,"floral, banana",3.5,1231
358,"fatty, sweet, metallic",2.75,1235
359,"powdery, floral, molasses",3.25,1638
360,"gritty, sweet, brownie",2.75,1181
361,"dirt, earthy, floral",2.5,2052
362,roasty and under refined,3.0,2052
363,"high roast, coffee, spicy",3.25,1299
364,"floral, mild citrus, orange",3.5,1299
365,"roasty, fruit, mild metallic",3.25,1303
366,"coffee, high roast, spicy",3.25,1303
367,"sweet, sour dairy",2.5,1323
368,"smokey, sour",3.0,2314
369,"molasses, sour notes",3.25,2274
370,base cocoa w/ palm notes,3.5,2274
371,"vegetal, unique",3.5,2266
372,subtle but refreshing,3.75,2266
373,"off pungent, grassy, melon",3.0,2330
374,"dirt, floral, sweet",2.5,1606
375,"oily, buttery, intense",2.5,502
376,"creamy, burnt wood",2.75,502
377,"over roasted, bitter, nutty",2.25,600
378,"roasty, almost burnt, intense",2.5,1215
379,"sandy, dairy, cocoa",2.0,141
380,"creamy, woody, cocoa",3.0,147
381,"dry, flat flavor, astringent",2.0,300
382,"spice, fruit medley, roasty",3.0,586
383,"gritty, sweet, citrus",3.5,1716
384,"light color, dirty, musty",2.5,2226
385,"light color, creamy, hazelnut",3.75,2226
386,"light color, dirty, astringent",3.0,2230
387,"intense, earthy, fuel",2.5,1391
388,"nutty, intense, leathery",3.25,1391
389,"bright fruit, strawberry",3.5,1391
390,"fruity, nutty, brownie",3.75,1395
391,"intense, black licorice, nutty",3.25,1668
392,"assertive, fruity, acidic",3.5,1688
393,"spicy, nutty, ends sour",3.25,1692
394,"sandy, chalky, earthy",2.75,2238
395,"high astringent, sandy, grass",2.5,2278
396,"raspberry, dirty, sour",3.0,2278
397,"poor texture, earthy",3.0,2076
398,"intense, marshmallow, fruit",3.5,1430
399,"earthy, woody, smoke",3.5,1430
400,"green, vegetal, soil, fuel",2.75,1434
401,"intense, spice",3.25,1434
402,"rich, nutty, acidic",3.75,1662
403,"distinct, short, dried fruit",3.75,1816
404,"mild cocoa, astringent",3.75,1816
405,"deep cocoa, fatty, dairy",3.5,1860
406,"rustic, sweet, one dimensional",3.0,641
407,"creamy,blueberry,black pepper",3.75,641
408,"rustic, gritty, sweet, fruit",3.25,647
409,"oily, cherry, rich cocoa",3.75,991
410,distinct lemon,4.0,336
411,"creamy, nutty, banana, rich",4.0,346
412,"creamy, earthy, dark roast",3.5,508
413,"creamy, mild spice, hazelnut",3.75,523
414,"creamy, mild spice, cocoa",4.0,523
415,"silky, ""Andes"" mint, off nutty",3.25,537
416,"gritty, fudge-like, nutty",3.5,537
417,"intense, roasty, rich cocoa",3.5,537
418,"rich, cherries, acidic",3.5,1908
419,"cocoa butter dominates, cocoa",2.75,2510
420,"intense,sweet,vanilla dominate",2.75,2510
421,"cocoa base, sweet, earthy",3.0,2510
422,"sour milk, off, late tart",3.0,1684
423,"dried fruit, sour, nutella",3.25,1684
424,"balanced, dairy, spicy",3.5,1684
425,"high astringent, earthy",3.0,2084
426,"creamy, complex, astingent",3.25,2084
427,"floral, rum",3.5,2084
428,"herbal, cocoa tea",3.5,2610
429,chocolate and grapes,4.0,2610
430,"complex, floral, spicy, fruit",3.5,2614
431,"smooth, slow, mild grape",3.5,2614
432,"sandy, sweet, bold citrus",3.5,237
433,"dry, spicy, fruity",3.5,237
434,"cloying, fatty, bitter",2.5,245
435,"klingy, hint of fruit, very bitter",1.5,259
436,"bitter, cocoa",1.0,141
437,"sweet, metallic, vanilla",2.75,296
438,burnt up front,2.25,749
439,"burnt coffee, fatty",2.5,765
440,"nutty, ashey, coffee",3.0,809
441,"fatty, controlled bitter, fruit",3.5,1185
442,"intense, ashey, earthen",2.5,1442
443,"intense, fatty, brownie",3.0,1442
444,"oily surface, berry, cream",3.5,1442
445,"nutty, burnt, fuel",2.5,1804
446,"sweet, acidic, fatty",2.75,1804
447,strong nutty with off notes,3.0,1804
448,"sandy, bold, cherry",3.0,1808
449,"dairy, chocolate, mild fruit",3.25,1808
450,"spice, oats, nutty, fatty",3.25,2558
451,"spice, honey, fatty",3.25,2558
452,"single note of cocoa, fatty",3.5,2558
453,"cocoa base, fruit, creamy",3.75,2558
454,"grainy, intense, bitter",2.0,237
455,"perfume, chemical off note",2.5,237
456,"crumbly, cinamon",2.75,245
457,"sweet, floral, yogurt",3.0,266
458,"sticky, sweet, grassy",3.25,269
459,"sandy, sweet, spicy",3.5,269
460,"mild smoke, melon",3.5,1263
461,"tart, malt, mild smoke",3.75,1263
462,"burnt blueberry, off",3.0,2626
463,"unusually tart, nutty",3.25,2626
464,"intense, cooked black licorice",3.25,2630
465,"strong tobacco, grassy",3.25,2630
466,"fatty, woody, coffee",3.0,841
467,"fatty, fruit, muted",2.75,845
468,"woody, spicy, tobacco",3.5,1582
469,"floral, earthy, acidic",3.25,1586
470,"acidic, astringent, spicy",3.5,1586
471,"sweet, marshmallow",3.0,1884
472,"nutty, grain, late choco",3.25,1888
473,"mild smoke, sweet edge",3.25,1888
474,"overly sweet, mild spice",3.5,1888
475,"sweet, grassy, nutty",3.5,1888
476,"off notes, vanilla",2.0,2154
477,"sandy, intense, sweet, rich",3.0,2394
478,"molasses, rich, vegetal",3.25,2402
479,"sandy, tobacco, molasses",3.0,1101
480,"sandy, mild intensity, fruit",3.5,1101
481,"sandy, fruity, acidic, metallic",2.5,1105
482,"sandy, nutty, cocoa",3.25,1105
483,"sandy, molasses, spice",3.25,1109
484,"molasses, cocoa",2.75,1153
485,mild metallic and spice,3.0,1153
486,"caramel, molasses, fruit",3.5,1347
487,"caramel, sweet, delicate",3.5,1371
488,"soapy, earthy",2.75,1407
489,"roasty, black pepper, nutty",3.5,1570
490,"med roast, grassy, dried fruit",3.75,1570
491,"nutty, floral, roasty",3.5,1574
492,"bright fruit, molasses, nutty",4.0,1724
493,"nutty, roasty, caramel",3.25,1956
494,"smooth, caramel, dried fruit",3.75,2314
495,"smooth, mellow, floral",3.5,2354
496,"complex, strawberry, floral",4.0,2554
497,"mild strawberry, cocoa, acidic",4.0,2688
498,"bitter, fatty, woodsy",3.0,2736
499,"tart, bitter, astringent",2.75,2740
500,"grassy, fatty, bittersweet",2.5,2740
501,"burnt rubber, leather",2.5,1247
502,"mild fruit, off notes",2.75,1247
503,"nutty, roasty, smokey",2.75,1251
504,"creamy, woody, slight cherry",3.0,1251
505,"sticky, mild mint, bitter",2.75,404
506,"sandy, roasty, coffee",2.75,1426
507,"cherry, sour milk, brownie",3.0,2672
508,"vanilla, sour, bubblegum",3.0,2676
509,"dominate grape, plastic off note",3.25,2676
510,"dark roast, rich cocoa",3.0,2028
511,"butter, roasty, cocoa, nutty",3.5,2238
512,"slightly metallic, woody, berry",3.25,1900
513,"dry, sandy, cocoa",3.0,252
514,"very sweet, very spicey",2.75,486
515,"green, leafy",3.5,1235
516,"spicy, chocolatey, atypical",3.0,2202
517,"sl. chalky, floral, pure",3.5,2422
518,"early fruit, earthy, alcohol",3.25,2668
519,"dried fruit, banana, sweet, vanilla",3.25,2668
520,"cocoa, subtle peanut butter",3.5,672
521,"floral, earthy",3.25,1454
522,"bland, mild choco & leather",3.0,1407
523,"powdery, bland, mild choco",3.25,1407
524,"roasty, sour milk, off note",2.75,1696
525,"high roast, banana raspberry",3.5,1696
526,"grassy, rubbery",2.5,2298
527,"chunky, spicy, rubbery",3.25,2298
528,"flat, metallic, floral",2.5,1482
529,"flat, floral, medicinal",2.75,1482
530,"spicy, earthy off notes",2.5,1514
531,"sugar dominates, molasses",3.0,2442
532,"mild, fruity then nutty",3.75,647
533,"mild, earthy, grassy",3.75,647
534,"sticky, bitter, molasses, tart",2.5,1772
535,"sticky, coconut, sour, bitter",2.5,1772
536,"gritty, molasses, earthy",2.5,1760
537,"roasty, cocoa, molasses",2.75,1760
538,"gritty, sweet, molasses",3.0,1764
539,"sandy, rich, roasty, earthy",3.0,1764
540,"gritty, nutty, caramel",3.0,1764
541,"molasses, tart, floral",3.25,1764
542,"nutty, roasty, bitter",2.75,1768
543,"unrefined, odd, vegetal",2.75,1259
544,"earthy, coffee, mild, tang",3.25,1530
545,"bold, rich cocoa, coffee",3.5,1530
546,"nuts, coffee, peanut butter",3.75,1530
547,"sandy, fruity, burnt",2.5,919
548,"sandy, sweet, cocoa",2.75,919
549,"tart, bright fruit, sour coffee",3.25,919
550,"intense orange, floral notes",3.75,1121
551,"floral, orange, cocoa",3.75,1582
552,"mild bitter, fruit, spice",3.75,1582
553,"nutty, mild dried fruit, sandy, off",2.75,2700
554,"spicy, banana",3.25,2134
555,"nutty, honey, grassy",3.0,2294
556,"fatty, vanilla, mass market",2.5,1219
557,"sandy, tart, ham, sweet",2.5,2080
558,"high astringent, fruit, roasty",2.75,2080
559,"sandy, sweet",2.75,2080
560,"coarse, vegetal, nibby",3.0,1454
561,"rustic,sweet, brownie, banana",3.25,682
562,"grainy, sweet, whole bean",3.25,1832
563,"melon, mild spice, cocoa",3.25,2594
564,full flavor w/ dominant roast,3.5,2594
565,"hazelnut, bold, strong roast",3.25,2598
566,"earthy, floral, mild bitter",2.5,117
567,"sweet, cardboard",2.5,117
568,"sweet, marshmallow",3.0,117
569,"long lasting, cocoa base",3.5,209
570,"chewy, fudge-like, perfume",3.25,439
571,"oily, grassy, minty",3.25,439
572,"earthy, sweet",3.25,478
573,"spicey, cocoa",3.5,478
574,"coarse, sweet, sour, leathery",2.5,1522
575,"gritty, mild bitter, off notes",2.5,1522
576,"dry, ashey, medicinal",2.5,377
577,"fatty, cigarette butt, coffee",2.75,377
578,"oily, muted, fruity",3.0,377
579,"roasty, tart, slight burnt",3.0,377
580,"slow, fatty, subdued, nutty",3.0,377
581,"mild lemon, cocoa, crisp nibs",3.75,2514
582,"cherry, perfectly balanced roast",4.0,2514
583,"rich, raisiny, molasses",3.5,2534
584,"fruity, honey, cocoa, roasty",3.75,2534
585,"roasty, cocoa, sandy, coffee AT",3.5,2638
586,"hint of lemon, classic brownie",3.75,2638
587,"gritty, sweet, hot cocoa",2.75,1149
588,"sweet, sandy, spicy",2.75,2250
589,"bold, spice, hit of anise",3.75,2226
590,"smooth, spicy, cocoa",3.75,2306
591,"cocoa, woody, basic",3.25,2310
592,"rich cocoa, floral, acidic",3.5,2310
593,"basic cocoa,mild fruit, sweet",3.5,2310
594,"creamy, dried fruit, nutty",4.0,2310
595,"roasty, hammy, nutty",3.0,2314
596,"oily, citrus, orange",3.75,666
597,"sweet, peanut butter",3.0,445
598,"red berry, bitter, roasty, sour",2.75,486
599,"bitter, light lime, sour",3.0,209
600,"dry, sandy, cocoa, coffee",3.75,227
601,"chalky, musty, very bitter",1.0,252
602,"short,mild cocoa, mild fruit",3.75,470
603,"spice, earthy, honey, sour",3.5,2630
604,"blueberry, sweet edge, pure",3.5,2630
605,"creamy, floral, bourbon",3.5,1486
606,"balanced, anise, creamy",3.5,2474
607,"raw, dirty, metallic, dry",2.25,2402
608,"molasses, dried fruit, tart, off",3.0,2606
609,"Rich cocoa, tart, papery",3.25,2606
610,"sweet, cocoa, cardboard off",3.25,2606
611,"very sour, mildly bitter",2.75,292
612,"dry, coffee, sour",3.25,292
613,"minty, nutty, nutmeg",3.75,292
614,"slightly burnt, mildly bitter",2.75,296
615,cocoa then roasted nut,3.25,579
616,"bold, roasty, sticky, brownie",3.5,1630
617,"woody, nutty, off sour note",2.75,1916
618,"spicy, vanilla, sweet, cocoa",3.25,2684
619,"cocoa, grass, off notes",2.5,2688
620,"off, harsh, dirty, chemical",2.5,2688
621,"cocoa, mild fruit",3.5,2688
622,"creamy, woodsy, cocoa",3.0,196
623,"intense, tangy, berry, sour",3.0,220
624,"lemon, sour, slight metallic",3.0,220
625,"creamy, buttery, non descript",3.0,341
626,"woodsy, nutty",3.25,445
627,"slow, less intense berry, nutty",3.5,451
628,"dark berry, winey",3.75,451
629,coffee and cocoa,3.25,470
630,"fruity, bland",3.0,478
631,"harsh aroma, melon floral,off",2.5,558
632,"dry, spicy, woody",3.0,558
633,"oily, fatty, rum",3.25,558
634,"oily, coffee",3.25,558
635,"silky, minty",3.5,813
636,high intensity bitter,1.5,817
637,"creamy, nutty, cocoa",3.75,821
638,"sandy, sweet, tart red berry",3.5,959
639,"oily, fragrant, spciy",3.25,1169
640,"oily, rich cocoa, nutty",3.75,1984
641,this is not chocolate,1.0,48
642,"spice, roasty, off fatty note",3.25,971
