,company,loc_country,rating
282,Black Mountain,U.S.A.,3.0
283,Black Mountain,U.S.A.,3.75
284,Black River (A. Morin),U.K.,2.75
285,Black Sheep,U.S.A.,3.25
287,Blanxart,Spain,2.75
288,Blanxart,Spain,3.5
289,Blue Bandana,U.S.A.,3.5
290,Blue Bandana,U.S.A.,3.75
292,Blue Bandana,U.S.A.,2.75
294,Blue Bandana,U.S.A.,3.0
295,Boho,U.S.A.,2.75
296,Bonaterra,Malaysia,2.5
297,Bonaterra,Malaysia,2.75
298,Bonaterra,Malaysia,3.25
299,Bonnat,France,3.75
301,Bonnat,France,4.0
303,Bonnat,France,1.5
304,Bonnat,France,3.0
306,Bonnat,France,2.5
309,Bonnat,France,2.75
312,Bonnat,France,3.5
319,Bonnat,France,3.25
329,Bouga Cacao (Tulicorp),Ecuador,3.25
330,Bouga Cacao (Tulicorp),Ecuador,1.5
331,Bowler Man,U.S.A.,2.75
333,Brasstown,U.S.A.,4.0
334,Brasstown,U.S.A.,3.75
335,Brasstown,U.S.A.,3.5
336,Brasstown,U.S.A.,3.0
337,Brasstown aka It's Chocolate,U.S.A.,3.0
338,Brasstown aka It's Chocolate,U.S.A.,3.25
339,Brasstown aka It's Chocolate,U.S.A.,3.5
341,Brasstown aka It's Chocolate,U.S.A.,3.75
342,Brasstown aka It's Chocolate,U.S.A.,4.0
348,Brazen,U.S.A.,3.0
349,Brazen,U.S.A.,3.25
350,Brazen,U.S.A.,3.5
351,Brazen,U.S.A.,2.75
354,Breeze Mill,U.S.A.,3.0
355,Bright,Australia,3.0
356,Bright,Australia,3.5
358,Bright,Australia,2.75
359,Britarev,Russia,3.25
360,Bronx Grrl Chocolate,U.S.A.,2.75
361,Bullion,U.K.,2.5
362,Bullion,U.K.,3.0
363,Burnt Fork Bend,U.S.A.,3.25
364,Burnt Fork Bend,U.S.A.,3.5
367,Burnt Fork Bend,U.S.A.,2.5
368,By Cacao,South Korea,3.0
369,Cacai Cacao,Taiwan,3.25
370,Cacai Cacao,Taiwan,3.5
371,Cacao 70,Canada,3.5
372,Cacao 70,Canada,3.75
373,Cacao 70,Canada,3.0
374,Cacao Arabuco,Puerto Rico,2.5
375,Cacao Atlanta,U.S.A.,2.5
376,Cacao Atlanta,U.S.A.,2.75
377,Cacao Atlanta,U.S.A.,2.25
379,Cacao Barry,France,2.0
380,Cacao Barry,France,3.0
383,Cacao Barry,France,3.5
384,Cacao Betulia,Switzerland,2.5
385,Cacao Betulia,Switzerland,3.75
386,Cacao Betulia,Switzerland,3.0
387,Cacao de Origen,Venezuela,2.5
388,Cacao de Origen,Venezuela,3.25
389,Cacao de Origen,Venezuela,3.5
390,Cacao de Origen,Venezuela,3.75
394,Cacao de Origen,Venezuela,2.75
396,Cacao de Origen,Venezuela,3.0
397,Cacao Gonzales,U.S.A.,3.0
398,Cacao Hunters,Colombia,3.5
400,Cacao Hunters,Colombia,2.75
401,Cacao Hunters,Colombia,3.25
402,Cacao Hunters,Colombia,3.75
405,Cacao Market,U.S.A.,3.5
406,Cacao Prieto,U.S.A.,3.0
407,Cacao Prieto,U.S.A.,3.75
408,Cacao Prieto,U.S.A.,3.25
410,Cacao Sampaka,Spain,4.0
412,Cacao Sampaka,Spain,3.5
413,Cacao Sampaka,Spain,3.75
415,Cacao Sampaka,Spain,3.25
419,Cacao Santa Fe (Art of Chocolate),U.S.A.,2.75
421,Cacao Santa Fe (Art of Chocolate),U.S.A.,3.0
422,Cacao Store,Japan,3.0
423,Cacao Store,Japan,3.25
424,Cacao Store,Japan,3.5
425,Cacaodada,South Korea,3.0
426,Cacaodada,South Korea,3.25
427,Cacaodada,South Korea,3.5
428,Cacaosuyo,Peru,3.5
429,Cacaosuyo,Peru,4.0
432,Cacaoyere (Ecuatoriana),Ecuador,3.5
434,Cacaoyere (Ecuatoriana),Ecuador,2.5
435,Cacaoyere (Ecuatoriana),Ecuador,1.5
436,Callebaut,Belgium,1.0
437,Callebaut,Belgium,2.75
438,C-Amaro,Italy,2.25
439,C-Amaro,Italy,2.5
440,C-Amaro,Italy,3.0
441,C-Amaro,Italy,3.5
445,Cao,U.S.A.,2.5
446,Cao,U.S.A.,2.75
447,Cao,U.S.A.,3.0
449,Cao,U.S.A.,3.25
450,Caofiori,Colombia,3.25
452,Caofiori,Colombia,3.5
453,Caofiori,Colombia,3.75
454,Caoni (Tulicorp),Ecuador,2.0
455,Caoni (Tulicorp),Ecuador,2.5
456,Caoni (Tulicorp),Ecuador,2.75
457,Caoni (Tulicorp),Ecuador,3.0
458,Caoni (Tulicorp),Ecuador,3.25
459,Caoni (Tulicorp),Ecuador,3.5
460,Captain Pembleton,New Zealand,3.5
461,Captain Pembleton,New Zealand,3.75
462,CAR Artisan,U.S.A.,3.0
463,CAR Artisan,U.S.A.,3.25
466,Caribeans,Costa Rica,3.0
467,Caribeans,Costa Rica,2.75
468,Caribeans,Costa Rica,3.5
469,Caribeans,Costa Rica,3.25
471,Carlotta Chocolat,Colombia,3.0
472,Carlotta Chocolat,Colombia,3.25
474,Carlotta Chocolat,Colombia,3.5
476,Casa,U.S.A.,2.0
477,Casa Lasevicius,Brazil,3.0
478,Casa Lasevicius,Brazil,3.25
479,Castronovo,U.S.A.,3.0
480,Castronovo,U.S.A.,3.5
481,Castronovo,U.S.A.,2.5
482,Castronovo,U.S.A.,3.25
484,Castronovo,U.S.A.,2.75
490,Castronovo,U.S.A.,3.75
492,Castronovo,U.S.A.,4.0
498,Cedric de Taeye,Belgium,3.0
499,Cedric de Taeye,Belgium,2.75
500,Cedric de Taeye,Belgium,2.5
501,Cello,U.S.A.,2.5
502,Cello,U.S.A.,2.75
504,Cello,U.S.A.,3.0
505,Cemoi,France,2.75
506,Chaleur B,Canada,2.75
507,Chaleur B,Canada,3.0
509,Chaleur B,Canada,3.25
510,Chapon,France,3.0
511,Chapon,France,3.5
512,Charm School,U.S.A.,3.25
513,Chchukululu (Tulicorp),Ecuador,3.0
514,Chchukululu (Tulicorp),Ecuador,2.75
515,Chequessett,U.S.A.,3.5
516,Chequessett,U.S.A.,3.0
518,Chequessett,U.S.A.,3.25
520,Chloe Chocolat,France,3.5
521,Chocablog,U.K.,3.25
522,Choco Del Sol,Germany,3.0
523,Choco Del Sol,Germany,3.25
524,Choco Dong,South Korea,2.75
525,Choco Dong,South Korea,3.5
526,Chococard (Lapos),Hungary,2.5
527,Chococard (Lapos),Hungary,3.25
528,Chocolarder,U.K.,2.5
529,Chocolarder,U.K.,2.75
531,Chocolarder,U.K.,3.0
532,Chocola'te,U.S.A.,3.75
534,Chocolate Alchemist-Philly,U.S.A.,2.5
536,Chocolate Con Amor,U.S.A.,2.5
537,Chocolate Con Amor,U.S.A.,2.75
538,Chocolate Con Amor,U.S.A.,3.0
541,Chocolate Con Amor,U.S.A.,3.25
543,Chocolate Conspiracy,U.S.A.,2.75
544,Chocolate Makers,Netherlands,3.25
545,Chocolate Makers,Netherlands,3.5
546,Chocolate Makers,Netherlands,3.75
547,Chocolate Tree,Scotland,2.5
548,Chocolate Tree,Scotland,2.75
549,Chocolate Tree,Scotland,3.25
550,Chocolate Tree,Scotland,3.75
554,Chocolates by Josh (Box Chocolate),U.S.A.,3.25
555,Chocolatoa,Belgium,3.0
556,Chocolats Privilege,Canada,2.5
557,Chocolibrium,U.S.A.,2.5
558,Chocolibrium,U.S.A.,2.75
560,ChocoReko,Japan,3.0
561,Chocosol,Canada,3.25
563,Chocotenango,U.S.A.,3.25
564,Chocotenango,U.S.A.,3.5
566,Chocovic,Spain,2.5
568,Chocovic,Spain,3.0
569,Chocovic,Spain,3.5
570,Chocovic,Spain,3.25
574,Chocovivo,U.S.A.,2.5
576,Choklat,Canada,2.5
577,Choklat,Canada,2.75
578,Choklat,Canada,3.0
581,Chokola,U.S.A.,3.75
582,Chokola,U.S.A.,4.0
583,Chokola,U.S.A.,3.5
587,Chokolat Elot (Girard),Martinique,2.75
588,Christophe Toury,U.S.A.,2.75
589,Christopher Elbow,U.S.A.,3.75
591,Christopher Elbow,U.S.A.,3.25
592,Christopher Elbow,U.S.A.,3.5
594,Christopher Elbow,U.S.A.,4.0
595,Christopher Elbow,U.S.A.,3.0
596,Christopher Morel (Felchlin),Canada,3.75
597,Chuao Chocolatier,U.S.A.,3.0
598,Chuao Chocolatier (Pralus),U.S.A.,2.75
599,Claudio Corallo,Sao Tome & Principe,3.0
600,Claudio Corallo,Sao Tome & Principe,3.75
601,Claudio Corallo,Sao Tome & Principe,1.0
603,Cleveland Chocolate Company,U.S.A.,3.5
605,Cloudforest,U.S.A.,3.5
606,Coco,Canada,3.5
607,Cocoa Carib,St. Lucia,2.25
608,Cocoa Forge,U.S.A.,3.0
609,Cocoa Forge,U.S.A.,3.25
611,Compania de Chocolate (Salgado),Argentina,2.75
612,Compania de Chocolate (Salgado),Argentina,3.25
613,Compania de Chocolate (Salgado),Argentina,3.75
616,Condor,U.S.A.,3.5
617,Confluence,U.S.A.,2.75
618,Conjure,U.S.A.,3.25
619,Conjure,U.S.A.,2.5
621,Conjure,U.S.A.,3.5
622,Coppeneur,Germany,3.0
626,Coppeneur,Germany,3.25
627,Coppeneur,Germany,3.5
628,Coppeneur,Germany,3.75
631,Coppeneur,Germany,2.5
636,Coppeneur,Germany,1.5
641,Cote d' Or (Kraft),Belgium,1.0
642,Cravve,Australia,3.25
646,Cravve,Australia,3.5
647,Cravve,Australia,2.5
648,Cravve,Australia,2.75
649,Creo,U.S.A.,3.25
650,Creo,U.S.A.,3.75
651,Crow and Moss,U.S.A.,3.25
653,Crow and Moss,U.S.A.,3.5
655,Crow and Moss,U.S.A.,3.75
656,CRU,U.S.A.,3.5
658,CRU,U.S.A.,3.0
659,Cultura,U.S.A.,3.5
661,Cultura,U.S.A.,3.25
663,Cuna de Piedra,Mexico,3.75
664,Daintree,Australia,3.25
665,Daintree,Australia,2.75
666,Dalloway,U.S.A.,2.75
667,Damson,U.K.,3.0
668,Damson,U.K.,3.5
669,Damson,U.K.,2.25
670,Damson,U.K.,2.75
671,Damson,U.K.,2.5
672,Dancing Lion,U.S.A.,2.5
673,Dancing Lion,U.S.A.,3.0
674,Dancing Lion,U.S.A.,3.5
675,Dandelion,U.S.A.,3.0
676,Dandelion,U.S.A.,3.25
677,Dandelion,U.S.A.,3.75
678,Dandelion,U.S.A.,2.75
680,Dandelion,U.S.A.,3.5
694,Dandelion,U.S.A.,4.0
700,Dandelion (aka Brower Ave),U.S.A.,3.25
703,Dandelion (Japan),U.S.A.,3.0
704,Danta,Guatemala,3.0
705,Danta,Guatemala,3.25
706,Danta,Guatemala,3.5
708,Danta,Guatemala,3.75
710,Danta,Guatemala,4.0
713,DAR,U.S.A.,2.75
714,DAR,U.S.A.,3.0
715,DAR,U.S.A.,3.25
716,Darcis,Belgium,3.0
717,Darcis,Belgium,3.25
718,Dark Forest,U.S.A.,3.0
719,Dark Forest,U.S.A.,3.25
723,Davis,U.S.A.,3.25
724,Davis,U.S.A.,2.5
725,Davis,U.S.A.,2.75
727,De Mendes,Brazil,3.5
729,De Villiers,South Africa,2.5
730,De Villiers,South Africa,3.0
731,Dean and Deluca (Belcolade),U.S.A.,2.5
732,Dean and Deluca (Belcolade),U.S.A.,3.0
737,Debauve & Gallais (Michel Cluizel),France,3.75
738,Debauve & Gallais (Michel Cluizel),France,3.0
739,Definite,Dominican Republic,2.5
741,Definite,Dominican Republic,3.0
742,Desbarres,Canada,2.5
743,Desbarres,Canada,3.0
744,DeVries,U.S.A.,3.5
746,DeVries,U.S.A.,2.75
747,Dick Taylor,U.S.A.,2.75
749,Dick Taylor,U.S.A.,3.0
750,Dick Taylor,U.S.A.,3.25
753,Dick Taylor,U.S.A.,3.5
755,Dick Taylor,U.S.A.,3.75
759,Dick Taylor,U.S.A.,4.0
766,Didier Smeets,Belgium,3.0
767,Didier Smeets,Belgium,2.75
769,Didier Smeets,Belgium,2.5
770,Diogo Vaz,Sao Tome & Principe,2.75
771,Diogo Vaz,Sao Tome & Principe,3.0
772,Diogo Vaz,Sao Tome & Principe,2.5
774,Doble & Bignall,U.K.,3.25
776,Doble & Bignall,U.K.,3.5
777,Doble & Bignall,U.K.,3.0
778,Dole (Guittard),U.S.A.,3.75
779,Dolfin (Belcolade),Belgium,1.5
780,Dolfin (Belcolade),Belgium,3.0
781,Domori,Italy,3.0
782,Domori,Italy,3.25
783,Domori,Italy,3.5
784,Domori,Italy,4.0
789,Domori,Italy,3.75
805,Dormouse,U.K.,2.5
806,Dormouse,U.K.,2.75
810,Dormouse,U.K.,3.5
812,Dormouse,U.K.,3.25
813,Double Spiral,U.S.A.,2.5
814,Double Spiral,U.S.A.,2.75
815,Double Spiral,U.S.A.,3.0
816,Ducrey,U.S.A.,3.25
817,Ducrey,U.S.A.,2.75
819,Duffy's,U.K.,3.5
820,Duffy's,U.K.,3.75
821,Duffy's,U.K.,2.5
825,Duffy's,U.K.,3.0
826,Duffy's,U.K.,3.25
831,Duffy's,U.K.,4.0
832,Duffy's,U.K.,2.75
836,Dulcinea,U.S.A.,3.25
837,Durand,France,2.75
838,Durci,U.S.A.,3.5
840,Durci,U.S.A.,3.25
842,Durci,U.S.A.,4.0
844,DWAAR,U.S.A.,3.0
845,East Van Roasters,Canada,3.25
846,East Van Roasters,Canada,3.5
847,East Van Roasters,Canada,3.75
848,Eau de Rose,Canada,3.25
850,Eclat (Felchlin),U.S.A.,2.75
851,Eclat (Fruition),U.S.A.,3.5
852,Edelmond,Germany,3.0
853,El Buen,U.S.A.,3.0
855,El Ceibo,Bolivia,2.75
856,El Ceibo,Bolivia,3.75
857,El Rey,Venezuela,2.75
858,El Rey,Venezuela,2.5
860,El Rey,Venezuela,3.0
863,El Rey,Venezuela,3.75
864,Eldora,U.S.A.,3.5
866,Eldora,U.S.A.,3.25
868,Eldora,U.S.A.,3.0
870,Eldora,U.S.A.,3.75
871,Emerald Estate,St. Lucia,2.75
872,Emerald Estate,St. Lucia,3.25
873,Emily's,Japan,3.0
874,Emily's,Japan,3.5
875,Encuentro,France,3.5
877,Encuentro,France,3.25
879,ENNA,U.S.A.,3.25
880,ENNA,U.S.A.,3.0
881,ENNA,U.S.A.,2.5
883,ENNA,U.S.A.,3.5
884,Enric Rovira (Claudio Corallo),Spain,3.25
885,Erithaj (A. Morin),France,3.25
886,Erithaj (A. Morin),France,3.0
888,Escazu,U.S.A.,3.0
889,Escazu,U.S.A.,2.0
890,Escazu,U.S.A.,3.5
891,Escazu,U.S.A.,2.75
895,Ethel's Artisan (Mars),U.S.A.,2.5
898,Ethel's Artisan (Mars),U.S.A.,2.75
900,Ethereal,U.S.A.,3.0
901,Ethereal,U.S.A.,3.5
902,Ethereal,U.S.A.,3.75
905,Exquisito,U.S.A.,3.0
906,Fearless (AMMA),U.S.A.,2.75
907,Feitoria Cacao,Portugal,3.0
908,Feitoria Cacao,Portugal,2.5
909,Feitoria Cacao,Portugal,2.75
910,Felchlin,Switzerland,3.0
912,Felchlin,Switzerland,3.5
913,Felchlin,Switzerland,4.0
914,Felchlin,Switzerland,2.0
917,Finca,U.S.A.,2.25
918,Finca,U.S.A.,3.0
919,Finca,U.S.A.,3.25
920,Finca,U.S.A.,2.5
921,Finnia,Canada,2.75
922,Finnia,Canada,3.0
924,Finnia,Canada,3.25
925,Firetree,U.K.,3.5
926,Firetree,U.K.,3.25
928,Firetree,U.K.,3.75
929,Five (5)Mile,U.S.A.,3.5
930,Five (5)Mile,U.S.A.,2.75
932,Five (5)Mile,U.S.A.,3.0
933,FJAK,Norway,3.0
934,FJAK,Norway,3.5
936,Forever Cacao,U.K.,2.75
937,Forteza (Cortes),Puerto Rico,2.75
939,Fossa,Singapore,2.75
940,Fossa,Singapore,3.5
941,Fossa,Singapore,3.75
942,Fossa,Singapore,3.0
944,Fossa,Singapore,3.25
951,Foundry,New Zealand,3.0
952,Foundry,New Zealand,3.25
956,Foundry,New Zealand,3.75
958,Franceschi,Venezuela,3.75
959,Franceschi,Venezuela,3.5
962,Franceschi,Venezuela,2.5
963,Franceschi,Venezuela,3.0
964,Franceschi,Venezuela,3.25
967,Frederic Blondeel,Belgium,3.5
971,Frederic Blondeel,Belgium,3.0
972,French Broad,U.S.A.,3.5
974,French Broad,U.S.A.,2.5
976,French Broad,U.S.A.,2.0
978,French Broad,U.S.A.,3.0
979,French Broad,U.S.A.,3.25
983,Fresco,U.S.A.,2.75
984,Fresco,U.S.A.,3.0
985,Fresco,U.S.A.,3.25
986,Fresco,U.S.A.,3.5
995,Fresco,U.S.A.,4.0
1002,Fresco,U.S.A.,3.75
1022,Fresh Coast,U.S.A.,3.5
1023,Fresh Coast,U.S.A.,3.75
1024,Fresh Coast aka Just Good Choc.,U.S.A.,3.5
1026,Fresh Coast aka Just Good Choc.,U.S.A.,4.0
1027,Friis Holm,Denmark,3.5
1028,Friis Holm,Denmark,3.75
1031,Friis Holm,Denmark,3.0
1032,Friis Holm,Denmark,3.25
1034,Friis Holm,Denmark,4.0
1043,Friis Holm (Bonnat),Denmark,3.25
1044,Friis Holm (Bonnat),Denmark,3.5
1049,Friis Holm (Bonnat),Denmark,3.75
1053,Friis Holm (Bonnat),Denmark,3.0
1055,Fruition,U.S.A.,3.25
1056,Fruition,U.S.A.,3.0
1057,Fruition,U.S.A.,2.5
1058,Fruition,U.S.A.,3.75
1063,Fruition,U.S.A.,4.0
1065,Fruition,U.S.A.,3.5
1069,Fu Wan,Taiwan,2.5
1070,Fu Wan,Taiwan,3.0
1072,Fu Wan,Taiwan,3.5
1073,Garden Island,U.S.A.,2.5
1074,Georgia Ramon,Germany,3.25
1075,Georgia Ramon,Germany,4.0
1076,Georgia Ramon,Germany,3.5
1081,Georgia Ramon,Germany,2.75
1083,Glennmade,U.S.A.,3.0
1084,Glennmade,U.S.A.,3.5
1085,Goodnow Farms,U.S.A.,2.75
1086,Goodnow Farms,U.S.A.,3.25
1089,Goodnow Farms,U.S.A.,2.5
1090,Goodnow Farms,U.S.A.,3.0
1091,Goodnow Farms,U.S.A.,3.75
1092,Gotham,U.S.A.,2.75
1093,Gotham,U.S.A.,3.0
1094,Gotham,U.S.A.,3.25
1096,Grand Place,Vietnam,3.0
1097,Great Lakes,U.S.A.,3.5
1101,Green & Black's (ICAM),U.K.,2.5
1102,Green Bean to Bar,Japan,3.5
1103,Green Bean to Bar,Japan,2.5
1104,Green Door,U.K.,3.0
1105,Grenada Chocolate Co.,Grenada,2.5
1106,Grenada Chocolate Co.,Grenada,2.75
1107,Grenada Chocolate Co.,Grenada,3.25
1108,Guido Castagna,Italy,3.0
1112,Guido Castagna,Italy,3.25
1113,Guido Castagna,Italy,2.75
1114,Guittard,U.S.A.,3.0
1115,Guittard,U.S.A.,2.5
1116,Guittard,U.S.A.,3.5
1128,Guittard,U.S.A.,2.75
1129,Guittard,U.S.A.,3.25
1135,Guittard,U.S.A.,3.75
1136,Habitual,Canada,2.75
1138,Habitual,Canada,3.25
1139,Habitual,Canada,3.5
1141,Habitual,Canada,3.0
1144,Habitual,Canada,2.0
1145,Hachez,Germany,2.5
1146,Hacienda El Castillo,Ecuador,2.75
1147,Hacienda El Castillo,Ecuador,3.0
1148,Haigh,Australia,3.0
1149,Harper Macaw,U.S.A.,3.0
1150,Harper Macaw,U.S.A.,3.5
1152,Harper Macaw,U.S.A.,3.25
1154,Harris & James,U.K.,3.25
1155,Harris & James,U.K.,3.0
1156,Harvest,U.S.A.,3.25
1157,Harvest,U.S.A.,3.5
1159,Harvest,U.S.A.,2.75
1160,Hazel Hill,U.S.A.,3.25
1161,Hazel Hill,U.S.A.,3.5
1162,Hazel Hill,U.S.A.,2.75
1163,Hecho,Mexico,3.5
1164,Heilemann,Germany,2.75
1165,Heinde & Verre,Netherlands,2.5
1166,Heinde & Verre,Netherlands,3.0
1168,Heirloom Cacao Preservation (Brasstown),U.S.A.,3.25
1169,Heirloom Cacao Preservation (Fruition),U.S.A.,3.5
1170,Heirloom Cacao Preservation (Guittard),U.S.A.,3.5
1171,Heirloom Cacao Preservation (Guittard),U.S.A.,3.0
1172,Heirloom Cacao Preservation (Guittard),U.S.A.,3.75
1174,Heirloom Cacao Preservation (Manoa),U.S.A.,3.5
1175,Heirloom Cacao Preservation (Millcreek),U.S.A.,3.5
1176,Heirloom Cacao Preservation (Mindo),U.S.A.,3.5
1177,Heirloom Cacao Preservation (Zokoko),U.S.A.,3.75
1178,Heirloom Cacao Preservation (Zokoko),U.S.A.,4.0
1179,hello cocoa (now Markham & Fitz),U.S.A.,2.75
1180,hello cocoa (now Markham & Fitz),U.S.A.,3.5
1181,Hemisphere,U.S.A.,2.75
1182,Hemisphere,U.S.A.,3.25
1183,hexx,U.S.A.,2.75
1184,hexx,U.S.A.,3.0
1186,hexx,U.S.A.,3.25
1188,hexx,U.S.A.,2.5
1189,hexx,U.S.A.,3.5
1190,hexx,U.S.A.,2.25
1193,Hogarth,New Zealand,2.75
1195,Hogarth,New Zealand,3.25
1196,Hogarth,New Zealand,3.5
1199,Hoja Verde (Tulicorp),Ecuador,2.0
1200,Hoja Verde (Tulicorp),Ecuador,2.5
1201,Hoja Verde (Tulicorp),Ecuador,3.0
1202,Hoja Verde (Tulicorp),Ecuador,3.25
1203,Hoja Verde (Tulicorp),Ecuador,3.5
1204,Holy Cacao,Israel,2.5
1205,Holy Cacao,Israel,2.75
1206,Holy Cacao,Israel,3.5
1207,Holy Cacao,Israel,3.75
1213,Honest,South Africa,2.5
1214,Hotel Chocolat,U.K.,4.0
1215,Hotel Chocolat,U.K.,1.75
1216,Hotel Chocolat,U.K.,2.75
1218,Hotel Chocolat,U.K.,3.0
1220,Hotel Chocolat (Coppeneur),U.K.,3.0
1221,Hotel Chocolat (Coppeneur),U.K.,2.5
1222,Hotel Chocolat (Coppeneur),U.K.,2.75
1229,Hotel Chocolat (Coppeneur),U.K.,3.25
1230,Hotel Chocolat (Coppeneur),U.K.,3.5
1239,Hummingbird,Canada,3.25
1240,Hummingbird,Canada,3.75
1241,Hummingbird,Canada,3.0
1245,Hummingbird,Canada,3.5
1247,Idilio (Felchlin),Switzerland,3.75
1249,Idilio (Felchlin),Switzerland,3.25
1251,Idilio (Felchlin),Switzerland,4.0
1252,Idilio (Felchlin),Switzerland,3.5
1257,Indah,India,2.5
1258,Indi,U.S.A.,3.0
1259,Indi,U.S.A.,3.25
