,review_date,rating,ingredients,characteristics
69,2016,2.75,"3- B,S,C","powdery, sweet, molasses"
70,2016,3.0,"3- B,S,C","dry, sweet, caramel"
71,2016,2.5,"3- B,S,C","sandy, sweet, pungent"
72,2016,2.5,"3- B,S,C","sandy, sweet, sour, off"
73,2016,2.75,"3- B,S,C","sandy, nutty, earthy, roasty"
74,2018,3.0,"3- B,S,C","sweet, coarse, nutty"
75,2007,3.5,"4- B,S,C,V","spice, nut, cocoa, fruit"
76,2007,3.0,"4- B,S,C,V","waxy, nutty, mint"
77,2007,3.75,"4- B,S,C,V","spicy, strawberry"
78,2008,2.75,"4- B,S,C,V","sticky, nutty, high acidity"
79,2009,3.0,"4- B,S,C,V","hot spice, roasty"
80,2010,3.75,"4- B,S,C,V","orange, cinamon"
81,2010,4.0,"4- B,S,C,V","strong spice, intense pepper"
82,2010,3.0,"4- B,S,C,V","woody, red berry, sour"
83,2011,4.0,"4- B,S,C,V","tart, lemon, smoke"
84,2009,3.0,"2- B,S","dry, chalky, fudge-like"
85,2009,2.75,"2- B,S","waxy mouthfeel, spicy"
86,2009,2.75,"2- B,S","fatty, mushroom, off notes"
87,2009,3.0,"2- B,S","roasty,oddly sweet,marshmallow"
88,2017,3.0,"3- B,S,C","raisins, pungent"
89,2017,3.5,"3- B,S,C","few grits, blackcherry, licorice"
90,2013,3.25,"3- B,S,C","oily, vanilla, melon, cocoa"
91,2013,3.5,"3- B,S,C","oily, vegetal, nutty, cocoa"
92,2015,3.0,"4- B,S,C,L","roasty, brownie, nutty"
93,2015,3.25,"2- B,S","fruity, sour"
94,2015,3.25,"2- B,S","high roast, high astringnet"
95,2015,3.25,"2- B,S","smokey, savory"
96,2015,3.25,"2- B,S","sandy, roasty, nutty"
97,2015,3.5,"2- B,S","rich, sour, mild smoke"
98,2006,3.75,"4- B,S,C,V","red wine, rich cocoa, long"
99,2007,3.0,"4- B,S,C,V","creamy, earthy, vegetal"
100,2007,3.0,"4- B,S,C,V","sandy, woody, spicy"
101,2007,3.5,"4- B,S,C,V",fruity with coffee notes
102,2007,3.75,"4- B,S,C,V","creamy, fruit, cocoa"
103,2007,3.5,"4- B,S,C,V","coffee, fruit, woodsy"
104,2007,3.5,"4- B,S,C,V","fatty, dairy, caramel, cocoa"
105,2012,3.75,"4- B,S,C,V","creamy, raspberry, nutty"
106,2018,3.0,"4- B,S,C,V","vanilla, mint, roasty"
107,2018,3.0,"4- B,S,C,V","vanilla, nuts, roasty"
108,2018,3.0,"4- B,S,C,V","nutty, mild roasty, vanilla"
109,2018,3.5,"4- B,S,C,V","sweet, delicate, complex"
110,2019,2.75,"3- B,S,C","nut, fatty, rubbery, rich"
111,2010,2.75,"4- B,S,C,L","creamy, red berry, bitter"
112,2010,3.75,"4- B,S,C,L","very sweet, bright red, banana"
113,2010,3.75,"4- B,S,C,L","roasty, fatty, nutty, coffee"
114,2010,4.0,"4- B,S,C,L","creamy, sweet,cocoa,banana"
115,2013,3.25,"4- B,S,C,L","grainy, sweet, poor aftertaste"
116,2014,3.0,"2- B,S","chalky, mild fruit, burnt"
117,2016,3.5,"2- B,S","light roast, caramel, cocoa"
118,2021,3.0,"2- B,S","burnt toast, cherry"
119,2021,3.25,"2- B,S","orange citrus, harsh earthiness"
120,2014,3.0,"3- B,S,C","sandy, fruity, short"
121,2014,2.5,"3- B,S,C","earthy, sour milk, leather"
122,2014,2.75,"3- B,S,C","bitter, floral, leather"
123,2014,3.0,"3- B,S,C","nutty, mild spice, mild earthy"
124,2015,3.5,"2- B,S","creamy, rich, rum, roasty"
125,2015,3.5,"2- B,S","floral, nutty, rich cocoa"
126,2015,3.75,"2- B,S","spicy, cocoa"
127,2015,3.5,"2- B,S","spicy, brownie, nutty"
128,2015,3.75,"2- B,S","floral, strawberry, metallic"
129,2015,4.0,"2- B,S","creamy,sticky, peanut butter"
130,2015,2.75,"2- B,S","floral, chemical off"
131,2015,3.25,"2- B,S","strawberry, butterscotch, off"
132,2015,3.5,"3- B,S,C","intense, floral, bourbon"
133,2016,3.5,"2- B,S","delicate, simple"
134,2016,3.75,"2- B,S","appealing smoke, woody"
135,2016,3.5,"3- B,S,C","cashew, roasty, chunky melt"
136,2016,3.25,"3- B,S,C","sticky, floral, roasty"
137,2016,3.25,"3- B,S,C","chewy, mild floral"
138,2016,3.5,"2- B,S","subtle, mysterious"
139,2016,3.75,"3- B,S,C","muddy, rich cocoa, raspberry"
140,2016,3.5,"2- B,S","nutty, green"
141,2016,4.0,"2- B,S","balanced, cherry, choco"
142,2016,4.0,"2- B,S","creamy, complex, balanced"
143,2016,3.25,"2- B,S","smoke, hammy, cocoa base"
144,2016,3.25,"2- B,S","earthy, nutty, cardboard"
145,2016,3.75,"2- B,S","dark berry, chocolatey"
146,2017,3.5,"2- B,S","slight roasty, basic cocoa"
147,2017,3.5,"3- B,S,C",sour fruit
148,2017,3.5,"3- B,S,C","rich cocoa, mild roasty"
149,2017,4.0,"2- B,S","creamy, bright fruit"
150,2017,3.5,"3- B,S,C","dried fruit, fig, anise"
151,2017,4.0,"2- B,S","long lasting, cocoa"
152,2018,3.0,"2- B,S","nuts, dried fruit, short"
153,2018,4.0,"2- B,S","smooth, nutty, cocoa"
154,2019,3.25,"3- B,S,C","herbs, mushroom, acidic"
155,2019,3.0,"3- B,S,C","burn butterscotch, rubbery"
156,2018,3.25,"2- B,S","melon, late hammy"
157,2018,3.5,"2- B,S","smooth, vegetal"
158,2018,3.5,"2- B,S","roasty, rich cocoa"
159,2018,3.0,"2- B,S","cocoa, earthy, hammy"
160,2008,3.75,"3- B,S,C","spicy, minty, vegetal"
161,2009,2.5,"3- B,S,C","oily, nutty, burnt, sour"
162,2009,2.75,"3- B,S,C","gritty, very smokey, sour"
163,2009,1.75,"3- B,S,C","cocoa, dominate off note"
164,2009,3.0,"3- B,S,C","sl. bitter, cherry, rich"
165,2009,3.0,"3- B,S,C","spicey, mild metallic"
166,2009,3.25,"3- B,S,C","spice, cocoa, short"
167,2010,1.75,"3- B,S,C","very nutty, very bitter"
168,2010,3.75,"3- B,S,C","grassy, black licorice, mint"
169,2010,3.25,"3- B,S,C","chewy, grassy, nutty"
170,2010,3.25,"3- B,S,C","unrefined, distinct spicey"
171,2010,3.5,"3- B,S,C",black pepper and banana
172,2011,4.0,"3- B,S,C","nuts, butterscotch, brownie"
173,2011,2.75,"3- B,S,C","blackpepper,chemical,rubber"
174,2012,3.75,"3- B,S,C","marshmallow, roasty, nutty"
175,2013,3.25,"3- B,S,C","gritty, nutty"
176,2013,2.75,"4- B,S,C,L","creamy, marshmallow, off"
177,2021,3.25,"4- B,S,C,L","cinamon, nutmeg, fatty"
178,2021,3.25,"4- B,S,C,L","strawberry, sour"
179,2021,3.5,"4- B,S,C,L","caramel, sour milk"
180,2007,2.5,"2- B,S","leather, black licorice, off"
181,2007,3.0,"2- B,S","smooth, astringent, cocoa"
182,2009,3.75,"2- B,S","strawberries, mild tart, roasty"
183,2011,3.75,"2- B,S","creamy, woody, cocoa"
184,2011,3.75,"2- B,S","grapes, woody, roasty"
185,2016,3.75,"3- B,S,C","creamy, rich, blueberry"
186,2019,3.0,"4- B,S,C,L","off aroma,vegetal,honey,sandy"
187,2018,2.75,"4- B,S,V,L","sandy, vanilla"
188,2018,3.0,"3- B,S,C","waxy, dried fruit"
189,2018,3.0,"3- B,S,C","sandy, roasty, nutty"
190,2018,3.5,"3- B,S,C","long, bright fruit, sweet, sour"
191,2021,2.5,"2- B,S","chemical, spice, earthy"
192,2021,3.0,"2- B,S","intense, sour tart plum, rubber"
193,2012,3.0,"2- B,S","unrefined, flat, grassy"
194,2012,2.5,"2- B,S","chalky, intense, chemical"
195,2012,2.5,"2- B,S","chalky, fragrant, then off"
196,2015,3.25,"2- B,S","coarse, smokey, metallic"
197,2015,3.5,"2- B,S","smoke, ham, papaya"
198,2018,3.0,"2- B,S","bland, sugary, large grits"
199,2015,2.75,"3- B,S,C","molasses, caramel, pungent"
200,2015,3.5,"3- B,S,C","black pepper, cardamom"
201,2019,2.5,"3- B,S,C","gritty, fatty, sour, off"
202,2019,2.75,"3- B,S,C","bitter, fatty, mild fruit"
203,2019,3.25,"3- B,S,C","base cocoa, mild fruit, roasty"
204,2012,3.25,"2- B,S","complex,black pepper,coffee"
205,2012,3.5,"2- B,S","molasses,toffee,coffee grounds"
206,2012,3.75,"2- B,S","raspberry, mild sour"
207,2014,4.0,"2- B,S","creamy, rounded, orange"
208,2015,3.5,"2- B,S","intense, smokey, dried fruit"
209,2017,3.5,"2- B,S","slightly dry, cocoa, berry"
210,2017,3.5,"2- B,S","intense, tangy, alcohol"
211,2012,2.75,"4- B,S,C,V","gritty, floral, vanilla"
212,2022,3.25,"3- B,S,C","sweet, honey, earthy, cocoa"
213,2016,3.5,"3- B,S,C","creamy, sweet, fudgey"
214,2016,3.75,"3- B,S,C","strawberry, candy flavor"
215,2016,3.25,"3- B,S,C","sandy, floral, sweet"
216,2019,2.25,"4- B,S,C,V","strong vanilla, off notes"
217,2017,3.0,"3- B,S,C","caramel, spice, earthy"
218,2017,3.25,"3- B,S,C","smokey, woody, tobacco"
219,2016,2.75,"3- B,S,C","intense, bitter, dry"
220,2016,2.75,"3- B,S,C","sandy, sweet, molasses"
221,2016,2.75,"3- B,S,C","intense, floral, black pepper"
222,2016,2.75,"3- B,S,C","intense floral, bitter, earthy"
223,2010,2.75,"4- B,S,C,L","pastey, nutty"
224,2010,2.75,"4- B,S,C,L","intense, smokey"
225,2010,2.75,"4- B,S,C,L","sticky, moss, nuts"
226,2010,3.5,"4- B,S,C,L","dry, cinamon, nutmeg"
227,2016,3.5,"3- B,S,C","sticky, delicate, melon"
228,2016,3.25,"3- B,S,C","oily, complex, pungent"
229,2016,3.5,"2- B,S","caramel, mild dried fruit"
230,2018,3.25,"3- B,S,C","high acidity, nutty, roasty"
231,2021,3.75,"3- B,S,C",dominate cocoa notes
232,2016,2.75,"3- B,S,C","unbalanced, tangy, pungent"
233,2016,3.0,"3- B,S,C","sweet, nibby, green"
234,2016,3.5,"3- B,S,C","balanced, complex, berry"
235,2018,3.0,"4- B,S,C,L","gummy, roasty, fatty"
236,2018,3.0,"4- B,S,C,L","gummy, fatty, sour"
237,2018,3.0,"4- B,S,C,L","off aroma, smokey, off note"
238,2011,4.0,"3- B,S,C","smokey, raspberries, cocoa"
239,2011,3.75,"3- B,S,C","intense,red berry,strawberry"
240,2013,3.5,"3- B,S,C","tobacco, dairy, sour"
241,2013,3.5,"3- B,S,C","nutty, roasty, dairy"
242,2013,3.5,"3- B,S,C","mocha, intense, sweet"
243,2013,4.0,"3- B,S,C",cinamon and nutmeg
244,2022,3.5,"4- B,S,C,L","floral, melon, spicy"
245,2022,3.0,"4- B,S,C,L","delicate, nutty, caramel, sl. Off"
246,2012,2.75,"5- B,S,C,V,L","sweet, vanilla, cocoa"
247,2010,3.25,"3- B,S,C","creamy, macadamia, pepper"
248,2010,3.25,"3- B,S,C","nutty, light toffee, mild musty"
249,2010,3.5,"3- B,S,C","ham-like, smokey, banana"
250,2010,3.5,"3- B,S,C","dark cocoa, spicy pepper"
251,2011,3.0,"3- B,S,C","chunky, nutty, banana"
252,2011,3.0,"3- B,S,C","bitter then nutty rustic, earthy"
253,2011,3.5,"3- B,S,C","creamy, banana, rich"
254,2011,4.0,"3- B,S,C","creamy, nutty, cocoa"
255,2015,2.5,"2- B,S","bitter, molasses, flour"
256,2015,2.5,"2- B,S","molasses, metallic, earthy"
257,2015,2.5,"4- B,S,C,V","sour, tart, molasses"
258,2015,3.25,"4- B,S,C,V","mild bitter, diluted, vanilla"
259,2018,3.5,"4- B,S,C,L","smooth texture, earthy, nutty"
260,2018,3.0,"4- B,S,C,L","gritty, spicy, earthy"
261,2018,3.0,"4- B,S,C,L","fatty, bland, nutty"
262,2008,3.0,"2- B,S","rich cocoa, red berry, sour"
263,2008,3.5,"2- B,S","intense, rum, tea"
264,2008,3.75,"2- B,S","nutty, astringent"
265,2008,3.0,"2- B,S","nutmeg, sour"
266,2009,3.0,"2- B,S","chalky, strong, harsh smoke"
267,2009,3.5,"2- B,S","intense marshmallow, cocoa"
268,2009,3.25,"2- B,S","rustic, red berry, woody"
269,2009,3.5,"2- B,S",chocolate covered cherries
270,2010,3.25,"2- B,S","dry, cardamom, medicinal"
271,2010,3.75,"2- B,S","robust, cocoa, fruity"
272,2010,2.75,"2- B,S","pastey, off spicey, nutty"
273,2010,3.0,"2- B,S","red berry, strong wine, sour"
274,2010,3.0,"2- B,S","nutty, mild bitter"
275,2012,3.5,"3- B,S,C","roasted nuts, rich, roasty"
276,2018,3.0,"2- B,S","floral, molasses, chemical"
277,2018,3.0,"2- B,S","molasses, earthy, spicy"
278,2018,3.25,"2- B,S","sweet, sour milk"
279,2019,2.75,"2- B,S","off, rubbery, burnt molasses"
280,2008,2.75,"3- B,S,C","unrefined, fruity"
281,2008,2.75,"3- B,S,C","sweet grass, muted spice"
282,2008,3.0,"3- B,S,C","rich, leather, woodsy"
283,2021,3.75,"4- B,S,C,L","bright fruit, crisp nibs, cocoa"
284,2014,2.75,"4- B,S,C,L","fatty, nutty"
285,2021,3.25,"3- B,S,C","burnt caramel, cocoa, floral"
286,2021,3.25,"3- B,S,C",honey with subtle tobacco
287,2009,2.75,"4- B,S,C,V","oily, flat, woody, sour"
288,2013,3.5,"4- B,S,C,V","complex, fruity, mild bitter"
289,2012,3.5,"3- B,S,C","chewy, complex,black pepper"
290,2012,3.75,"3- B,S,C","gritty, tart red berry,powerful"
291,2016,3.5,"2- B,S","sandy, tart, sour, sweet"
292,2016,2.75,"2- B,S","roasty, coffee, earthy"
293,2016,3.5,"2- B,S","bready, melon"
294,2016,3.0,"2- B,S","astringent, sour, coffee"
295,2017,2.75,"3- B,S,C",pungent off flavor
296,2019,2.5,"2- B,S","sweet, dirty, off notes"
297,2019,2.75,"2- B,S","sweet, fruit, chemical off note"
298,2019,3.25,"2- B,S","grassy, savory, sour"
299,2006,3.75,"3- B,S,C","spice, woodsy, long lasting"
300,2006,3.75,"3- B,S,C","sandy, creamy, berry"
301,2006,4.0,"3- B,S,C","creamy, fatty, floral"
302,2006,3.75,"3- B,S,C","mellow, tart, coffee"
303,2006,1.5,"3- B,S,C","acidic, bitter, dry"
304,2006,3.0,"3- B,S,C","vegetal, dominant tobacco"
305,2006,4.0,"3- B,S,C","creamy, coconut, tang"
306,2007,2.5,"3- B,S,C","dry, floral, bitter"
307,2008,4.0,"3- B,S,C","creamy, strawberry, nutty"
308,2009,3.0,"3- B,S,C","oily, intense cocoa, sl. Burnt"
309,2009,2.75,"3- B,S,C","flat, bread, earthy"
310,2009,3.0,"3- B,S,C","mild bitter, nut, possible mold"
311,2009,3.0,"3- B,S,C","fatty, roasty, earthy"
312,2011,3.5,"3- B,S,C","fatty, raisin, grape"
313,2011,3.5,"3- B,S,C","roasty, woody, mint"
314,2011,3.5,"3- B,S,C","creamy, cocoa, smokey"
315,2011,3.75,"3- B,S,C","chunky, very grassy, mild mint"
316,2011,4.0,"3- B,S,C","grassy, black pepper"
317,2011,4.0,"3- B,S,C","fatty, spicy, gentle roast"
318,2011,3.5,"3- B,S,C","oily,fatty, rich, nutty"
319,2011,3.25,"3- B,S,C","oily, creamy, woody"
320,2013,3.5,"3- B,S,C","oily, roasted nuts, rich cocoa"
321,2013,3.25,"3- B,S,C","fatty, roasty, black pepper"
322,2014,4.0,"3- B,S,C","creamy, homey, nutty"
323,2014,3.25,"3- B,S,C","roasty, tobacco, earthy"
324,2014,3.75,"3- B,S,C","complex, brownie,mint, spice"
325,2016,3.5,"3- B,S,C","heavy roast, fatty, gateway"
326,2018,4.0,"3- B,S,C","oily, subtle, mild coffee"
327,2018,4.0,"3- B,S,C","creamy, rich, complex"
328,2021,3.75,"3- B,S,C","bold, woody, nut, roasty, creamy"
329,2009,3.25,"2- B,S","sticky, lavendar, molasses"
330,2009,1.5,"3- B,S,C","cardboard, very bitter, floral"
331,2014,2.75,"3- B,S,C","sandy, vanilla, candy-like"
332,2014,2.75,"3- B,S,C","gritty, sweet, mild coffee"
333,2018,4.0,"3- B,S,C","nuts, fruit"
334,2018,3.75,"3- B,S,C","sweet, rich mocha, acidic"
335,2018,3.5,"3- B,S,C","balanced, floral, honey"
336,2021,3.0,"3- B,S,C","very sweet, melon, caramel"
337,2013,3.0,"5- B,S,C,V,L","oily, vanilla, caramel, dairy"
338,2013,3.25,"5- B,S,C,V,L","intense, alocohol, floral"
339,2013,3.5,"5- B,S,C,V,L","fatty, brownie, nutty"
340,2013,3.5,"5- B,S,C,V,L","intense, cooked banana"
341,2014,3.75,"3- B,S,C","intense, cocoa, complex"
342,2014,4.0,"3- B,S,C","intense, raisins, roasty"
343,2015,3.75,"3- B,S,C","complex, brownie, lime, rich"
344,2016,3.5,"3- B,S,C","nutty, slight hammy, rich"
345,2016,3.75,"3- B,S,C","simple, rich cocoa"
346,2017,3.25,"3- B,S,C","earthy, cherries"
347,2017,3.75,"3- B,S,C","sandy, floral, honey"
348,2015,3.0,"3- B,S,C","roasty, sweet, brownie"
349,2015,3.25,"3- B,S,C","bitter, dark berry, fatty"
350,2015,3.5,"2- B,S","tart, tea, leather, sour"
351,2015,2.75,"3- B,S,C","bitter, tart, acidic"
352,2015,3.25,"3- B,S,C","mild smoke, raisins, coffee"
353,2015,3.25,"3- B,S,C","citrus, sweet, cocoa"
354,2013,3.0,"4- B,S,C,V","chalky, sandy, tart, bland"
355,2014,3.0,"3- B,S,C","sweet, mild molasses, bland"
356,2014,3.5,"3- B,S,C","spicy, black pepper, banana"
357,2014,3.5,"3- B,S,C","floral, banana"
358,2014,2.75,"3- B,S,C","fatty, sweet, metallic"
359,2015,3.25,"2- B,S","powdery, floral, molasses"
360,2013,2.75,"3- B,S,C","gritty, sweet, brownie"
361,2018,2.5,"3- B,S,C","dirt, earthy, floral"
362,2018,3.0,"3- B,S,C",roasty and under refined
363,2014,3.25,"3- B,S,C","high roast, coffee, spicy"
364,2014,3.5,"3- B,S,C","floral, mild citrus, orange"
365,2014,3.25,"3- B,S,C","roasty, fruit, mild metallic"
366,2014,3.25,"3- B,S,C","coffee, high roast, spicy"
367,2014,2.5,"3- B,S,C","sweet, sour dairy"
368,2019,3.0,"2- B,S","smokey, sour"
369,2019,3.25,"2- B,S*","molasses, sour notes"
370,2019,3.5,"2- B,S*",base cocoa w/ palm notes
371,2019,3.5,"4- B,S,C,L","vegetal, unique"
372,2019,3.75,"4- B,S,C,L",subtle but refreshing
373,2019,3.0,"4- B,S,C,L","off pungent, grassy, melon"
374,2015,2.5,"2- B,S","dirt, floral, sweet"
375,2010,2.5,"2- B,S","oily, buttery, intense"
376,2010,2.75,"2- B,S","creamy, burnt wood"
377,2010,2.25,"2- B,S","over roasted, bitter, nutty"
378,2014,2.5,"2- B,S","roasty, almost burnt, intense"
379,2007,2.0,"5- B,S,C,V,L","sandy, dairy, cocoa"
380,2007,3.0,"5- B,S,C,V,L","creamy, woody, cocoa"
381,2008,2.0,"5- B,S,C,V,L","dry, flat flavor, astringent"
382,2010,3.0,"5- B,S,C,V,L","spice, fruit medley, roasty"
383,2016,3.5,"5- B,S,C,V,L","gritty, sweet, citrus"
384,2018,2.5,"2- B,S","light color, dirty, musty"
385,2018,3.75,"2- B,S","light color, creamy, hazelnut"
386,2018,3.0,"2- B,S","light color, dirty, astringent"
387,2014,2.5,"2- B,S","intense, earthy, fuel"
388,2014,3.25,"2- B,S","nutty, intense, leathery"
389,2014,3.5,"2- B,S","bright fruit, strawberry"
390,2014,3.75,"2- B,S","fruity, nutty, brownie"
391,2015,3.25,"2- B,S","intense, black licorice, nutty"
392,2015,3.5,"2- B,S","assertive, fruity, acidic"
393,2015,3.25,"2- B,S","spicy, nutty, ends sour"
394,2018,2.75,"2- B,S","sandy, chalky, earthy"
395,2019,2.5,"2- B,S","high astringent, sandy, grass"
396,2019,3.0,"2- B,S","raspberry, dirty, sour"
397,2018,3.0,"2- B,S","poor texture, earthy"
398,2014,3.5,"4- B,S,C,L","intense, marshmallow, fruit"
399,2014,3.5,"4- B,S,C,L","earthy, woody, smoke"
400,2014,2.75,"4- B,S,C,L","green, vegetal, soil, fuel"
401,2014,3.25,"4- B,S,C,L","intense, spice"
402,2015,3.75,"3- B,S,C","rich, nutty, acidic"
403,2016,3.75,"3- B,S,C","distinct, short, dried fruit"
404,2016,3.75,"3- B,S,C","mild cocoa, astringent"
405,2016,3.5,"4- B,S,C,L","deep cocoa, fatty, dairy"
406,2011,3.0,"2- B,S","rustic, sweet, one dimensional"
407,2011,3.75,"2- B,S","creamy,blueberry,black pepper"
408,2011,3.25,"2- B,S","rustic, gritty, sweet, fruit"
409,2012,3.75,"2- B,S","oily, cherry, rich cocoa"
410,2009,4.0,"4- B,S,C,L",distinct lemon
411,2009,4.0,"4- B,S,C,L","creamy, nutty, banana, rich"
412,2010,3.5,"4- B,S,C,L","creamy, earthy, dark roast"
413,2010,3.75,"4- B,S,C,L","creamy, mild spice, hazelnut"
414,2010,4.0,"4- B,S,C,L","creamy, mild spice, cocoa"
415,2010,3.25,"4- B,S,C,L","silky, ""Andes"" mint, off nutty"
416,2010,3.5,"4- B,S,C,L","gritty, fudge-like, nutty"
417,2010,3.5,"4- B,S,C,L","intense, roasty, rich cocoa"
418,2016,3.5,"4- B,S,C,L","rich, cherries, acidic"
419,2020,2.75,"4- B,S,C,V","cocoa butter dominates, cocoa"
420,2020,2.75,"4- B,S,C,V","intense,sweet,vanilla dominate"
421,2020,3.0,"4- B,S,C,V","cocoa base, sweet, earthy"
422,2015,3.0,"2- B,S","sour milk, off, late tart"
423,2015,3.25,"2- B,S","dried fruit, sour, nutella"
424,2015,3.5,"2- B,S","balanced, dairy, spicy"
425,2018,3.0,"3- B,S,C","high astringent, earthy"
426,2018,3.25,"3- B,S,C","creamy, complex, astingent"
427,2018,3.5,"3- B,S,C","floral, rum"
428,2021,3.5,"2- B,S","herbal, cocoa tea"
429,2021,4.0,"2- B,S",chocolate and grapes
430,2021,3.5,"2- B,S","complex, floral, spicy, fruit"
431,2021,3.5,"2- B,S","smooth, slow, mild grape"
432,2008,3.5,"4- B,S,C,L","sandy, sweet, bold citrus"
433,2008,3.5,"4- B,S,C,L","dry, spicy, fruity"
434,2008,2.5,"4- B,S,C,L","cloying, fatty, bitter"
435,2008,1.5,"4- B,S,C,L","klingy, hint of fruit, very bitter"
436,2007,1.0,"3- B,S,C","bitter, cocoa"
437,2008,2.75,"3- B,S,C","sweet, metallic, vanilla"
438,2011,2.25,"2- B,S",burnt up front
439,2011,2.5,"2- B,S","burnt coffee, fatty"
440,2012,3.0,"2- B,S","nutty, ashey, coffee"
441,2013,3.5,1- B,"fatty, controlled bitter, fruit"
442,2014,2.5,"2- B,S","intense, ashey, earthen"
443,2014,3.0,"2- B,S","intense, fatty, brownie"
444,2014,3.5,"2- B,S","oily surface, berry, cream"
445,2016,2.5,"3- B,S,C","nutty, burnt, fuel"
446,2016,2.75,"3- B,S,C","sweet, acidic, fatty"
447,2016,3.0,"3- B,S,C",strong nutty with off notes
448,2016,3.0,"3- B,S,C","sandy, bold, cherry"
